Year,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,MSRP
2011,335,6,0,0,2,0,0,26,19,46135
2011,300,6,0,0,2,0,1,28,19,40650
2011,300,6,0,0,2,0,0,28,20,36350
2011,230,6,0,0,2,0,0,28,18,29450
2011,230,6,0,0,2,0,1,28,18,34500
2012,230,6,0,0,2,0,0,28,18,31200
2012,300,6,0,0,2,0,1,26,17,44100
2012,300,6,0,0,2,0,0,28,20,39300
2012,230,6,0,0,2,0,1,28,18,36900
2013,230,6,0,0,2,0,1,27,18,37200
2013,300,6,0,0,2,0,0,28,20,39600
2013,230,6,0,0,2,0,0,28,19,31500
2013,300,6,0,0,2,0,1,28,19,44400
2013,230,6,0,0,2,0,1,28,19,37200
2013,230,6,0,0,2,0,0,28,19,31500
2013,320,6,0,0,2,0,1,25,18,48250
2013,320,6,0,0,2,0,0,28,20,43550
1992,172,6,0,1,4,1,2,24,17,2000
1992,172,6,0,1,4,1,2,24,17,2000
1992,172,6,1,2,4,1,3,20,16,2000
1992,172,6,0,1,4,1,2,24,17,2000
1992,172,6,0,2,4,1,2,21,16,2000
1993,172,6,0,1,4,1,2,24,17,2000
1993,172,6,1,2,4,1,3,20,16,2000
1993,172,6,0,1,4,1,2,24,17,2000
1993,172,6,0,1,4,1,2,24,17,2000
1993,172,6,0,2,4,1,2,21,16,2000
1994,172,6,1,1,4,1,3,21,16,2000
1994,172,6,0,2,4,1,2,22,16,2000
1994,172,6,0,1,4,1,2,22,17,2000
1994,172,6,1,1,4,1,2,22,16,2000
1994,172,6,1,2,4,1,3,21,16,2000
2017,160,4,0,0,2,0,1,35,26,27495
2017,160,4,0,0,2,0,1,35,26,24995
2017,160,4,0,0,2,0,1,35,26,28195
1991,130,4,0,0,4,0,2,26,18,2000
1991,158,6,0,0,4,0,2,25,17,2000
1992,158,6,0,0,4,0,2,25,17,2000
1992,130,4,0,0,4,0,2,26,18,2000
1993,130,4,0,0,4,0,2,26,18,2000
1993,158,6,0,0,4,0,2,25,17,2000
2016,240,4,1,0,2,0,0,35,23,32850
2016,240,4,1,0,2,0,1,34,23,38650
2016,320,6,1,0,2,0,1,31,20,48750
2016,240,4,1,2,2,0,0,35,23,34850
2016,240,4,1,2,2,0,1,34,22,40650
2016,320,6,1,0,2,0,0,31,20,44150
2016,240,4,0,0,2,0,0,34,22,32850
2016,320,6,1,2,2,0,0,30,20,46150
2016,320,6,1,0,2,0,1,30,20,50750
2017,335,6,1,2,2,0,0,31,21,46450
2017,335,6,1,0,2,0,1,32,21,49050
2017,335,6,1,2,2,0,1,32,21,51050
2017,335,6,1,0,2,0,0,32,21,44450
2017,248,4,1,0,2,0,1,34,23,38950
2017,248,4,1,0,2,0,0,35,24,33150
2017,248,4,1,2,2,0,0,33,24,35150
2017,248,4,1,2,2,0,1,33,23,40950
1990,162,5,1,1,4,1,2,20,16,2000
1990,162,5,0,2,4,1,3,22,15,2000
1990,162,5,0,2,4,1,2,23,15,2000
1991,217,5,0,2,4,1,2,22,16,2000
1991,217,5,0,2,4,1,3,22,16,2000
1991,162,5,1,1,4,1,2,20,16,2000
2015,184,4,1,1,4,1,2,36,23,25170
2015,184,4,1,1,4,1,2,36,23,23950
2015,295,6,1,2,4,1,2,29,18,29370
2015,184,4,1,1,4,1,2,36,23,21995
2015,184,4,1,1,4,1,2,36,23,26625
2015,295,6,1,2,4,1,2,29,18,30825
2016,184,4,1,1,4,1,2,36,23,21995
2016,184,4,1,1,4,1,2,36,23,27795
2016,295,6,1,2,4,1,2,29,18,31785
2016,295,6,1,2,4,1,2,29,18,29905
2016,184,4,1,1,4,1,2,36,23,22490
2016,184,4,1,1,4,1,2,36,23,27570
2016,184,4,1,1,4,1,2,36,23,25690
2016,184,4,1,1,4,1,2,36,23,24490
2017,295,6,1,2,4,1,2,28,18,29905
2017,295,6,1,2,4,1,2,28,18,31785
2017,184,4,1,1,4,1,2,36,23,26685
2017,184,4,1,1,4,1,2,36,23,22490
2017,184,4,1,1,4,1,2,36,23,25690
2017,295,6,1,2,4,1,2,28,18,30900
2017,184,4,1,1,4,1,2,36,23,27795
2017,184,4,1,1,4,1,2,36,23,21995
2017,184,4,1,1,4,1,2,36,23,24490
